θ,SC,BCC,FCC
0.0,2.1499292188074812,1.9592352065463858,1.9263422569806339
0.18018018018018017,1.9813178429960174,1.8737879022020494,2.1093758507454883
0.36036036036036034,1.6980542786318726,2.2580090859415174,2.0166561616722207
0.5405405405405406,2.2450932686924627,2.13634579450925,2.0077319069432766
0.7207207207207207,2.0868781744361344,1.862509212276178,2.218608864272986
0.9009009009009009,2.1247561653010982,2.059744745609275,2.0463812781838393
1.0810810810810811,1.9900525182388624,2.091161487124949,2.002402775801623
1.2612612612612613,1.9120167728710435,1.6399591458437477,1.6504627849528146
1.4414414414414414,2.286625948104548,2.1647076064090007,2.2815335001027774
1.6216216216216217,2.193585969129876,1.8857548119145364,1.8481956054734157
1.8018018018018018,1.7805498278013931,1.970524324039739,2.0496468686522293
1.981981981981982,2.168261682675915,2.347594102816833,2.3806190342993516
2.1621621621621623,2.1082686401253823,1.8281554404613947,2.210506740202574
2.3423423423423424,2.1244394082473823,2.5678759158922113,1.9474796894186561
2.5225225225225225,2.461507098040762,2.3359909670251713,2.012720042294573
2.7027027027027026,1.9036999743546992,2.16602087233909,1.7507002779201217
2.8828828828828827,2.3162536095614263,2.158542772998602,1.7356966856533704
3.0630630630630633,2.341920358901813,2.3322581276769743,2.0769272919351396
3.2432432432432434,2.498131861373453,2.1045615172528187,2.282895906585401
3.4234234234234235,1.893294541677041,2.3669692026117732,2.0088167852291914
3.6036036036036037,2.195698079553046,2.28118102740855,2.430661733425383
3.783783783783784,2.2090296581911444,2.099108635539206,2.1195945097330737
3.963963963963964,2.022057764419114,1.9791890571160802,2.2132415116699096
4.1441441441441444,2.292968816263394,2.221955403568835,2.402530885646062
4.324324324324325,2.502632448649105,2.392096305723564,2.1851726992399985
4.504504504504505,1.9085979512383875,2.3987029488653073,1.8895786227847584
4.684684684684685,2.16779182214157,2.0127159323404236,1.9042087526889926
4.864864864864865,1.8327556226467563,2.2916376701593806,1.783149410590287
5.045045045045045,2.3423869557775845,1.96030980899714,2.041282555683367
5.225225225225225,2.5669952433697336,2.4521390667411676,1.9898586855183171
5.405405405405405,2.526945964019947,2.2491847479150917,2.0231270133677755
5.585585585585586,2.362217979434826,2.2700256742955816,2.0229044034358705
5.7657657657657655,2.448524936444005,2.2893946280363644,2.4633180946577404
5.945945945945946,1.895466685934257,2.1994430206416395,2.530332044672969
6.126126126126127,2.1768751502104666,2.1913106950500825,2.2377017738409557
6.306306306306307,2.421467814051549,2.120862992674585,2.0638784571252193
6.486486486486487,2.29904477198422,2.032050806820475,2.1750314275773466
6.666666666666666,2.3247658088350747,2.067623555211429,1.913096757666722
6.846846846846847,1.9147507345129569,2.3423866436648235,2.121557776450689
7.027027027027027,2.044524580891832,2.2554327839562194,2.2009471685442423
7.207207207207207,2.2551171853263656,2.438905139140739,2.1897498241426643
7.387387387387387,1.678611440428469,1.6887134922918838,2.0686535006425593
7.567567567567568,2.4258878124323866,2.399913482046504,1.8737216413291577
7.747747747747748,2.112901740654471,2.0689860868678336,2.2542205959126855
7.927927927927928,2.0842530607483947,2.1399088981013086,2.426590327805214
8.108108108108107,2.1780881482529915,2.3989933534505794,2.218021360648876
8.288288288288289,1.9387085264755315,2.1082891231006022,2.360489455827588
8.468468468468469,2.066324466796304,2.444858888361624,2.364654624579302
8.64864864864865,2.39755882334732,2.2185183734345695,1.9165771664341562
8.82882882882883,2.1969053111706978,2.1149579731004753,2.117398232132125
9.00900900900901,1.990305354740504,2.410410091916172,2.3992869939604797
9.18918918918919,1.9498238117980509,1.919719193992143,2.26184926284482
9.36936936936937,2.359002780031626,2.4822706142750657,2.0353217483191086
9.54954954954955,2.0220958072699555,2.0472023578120835,1.8343757892158865
9.72972972972973,1.8297283250506697,2.442991885423191,2.3080128683728063
9.90990990990991,1.8905065640208443,2.160125742668572,2.4235161251048933
10.09009009009009,2.271075555308479,2.267911801384154,2.127566967103302
10.27027027027027,2.088866169093444,2.2766639483638427,2.3326796374739747
10.45045045045045,2.3494046669638733,2.0332592036122685,2.19197758315833
10.63063063063063,2.2365410744692973,1.873570939036968,2.2616621323961077
10.81081081081081,2.2798496024429773,2.108926890309577,2.3159812220409406
10.99099099099099,2.451174507383255,2.1884065493149647,2.504746754404662
11.171171171171173,1.8668003786266023,2.5034646120561446,2.474819434835719
11.35135135135135,2.2100005484320335,1.7497541748075953,2.4171090948216425
11.531531531531531,2.570497844270308,2.4269849763312563,2.476026736086066
11.711711711711713,2.2105323539901733,2.11329114642284,1.916987914344218
11.891891891891891,1.8961529865603868,2.172978475866294,2.4025783527747038
12.072072072072073,2.2684871311706325,2.5150688560016903,1.7873201268706942
12.252252252252253,2.2489944815990577,2.533012752608305,2.1398861441120958
12.432432432432432,2.224221032012002,2.0305890791016115,2.374664108898161
12.612612612612613,1.9466500368974193,2.4126742970930604,2.1715118194071787
12.792792792792792,2.3167747708886175,2.611085701545482,2.2549756195391764
12.972972972972974,1.9521474182035379,2.3342565687406447,2.153510339947695
13.153153153153154,2.199745140516946,2.464898430821356,2.718119029777645
13.333333333333332,1.8826265935761888,2.314584743400619,1.4881534899300997
13.513513513513514,2.304360193875923,2.1098350324403916,2.34228859602657
13.693693693693694,2.6590110654949983,2.106593542838212,2.3968571656035578
13.873873873873874,2.5462681354136887,2.5615162849934725,2.504718325655016
14.054054054054054,2.1733891628019704,2.7120517083051685,2.1245280086075273
14.234234234234233,2.3862433785200277,2.2412980477822,2.573554719675093
14.414414414414415,2.463231196788363,2.3670608774220945,2.452181724730335
14.594594594594595,2.3834723321844407,1.957779990654545,1.8522107179472194
14.774774774774775,2.5070019788509863,2.0656564502556427,2.3530389502201627
14.954954954954955,2.122214426400961,2.189229946574179,2.652665057565419
15.135135135135137,2.2664015242658606,2.659891881568123,2.384619417655604
15.315315315315315,2.497942078763558,1.8973491294773948,2.0944199298678376
15.495495495495495,2.2429203493252543,2.205886333566835,2.163896090855757
15.675675675675675,2.4775069144151805,2.1661732622976766,2.1528375997476936
15.855855855855856,2.438259281006894,2.015746454292299,2.1593373190194436
16.036036036036037,2.3506531664095185,2.6384076312980906,2.3090140895126012
16.216216216216214,2.48284317709698,2.3095402911225977,2.2040277245127333
16.396396396396398,2.4469866214244327,2.2755947893649258,2.7188878191176107
16.576576576576578,2.228493589765751,2.6490142543825868,2.3844682297005946
16.756756756756758,2.2481310545164606,2.2265133532714234,2.127154418089119
16.936936936936938,2.1928738244470503,1.9961839352058792,2.5071880407493277
17.117117117117115,1.9741532484400353,1.9157481960346385,2.6874139668766404
17.2972972972973,2.169082949119359,2.289470703496284,2.3433746538677784
17.47747747747748,2.4605947695583255,2.8247062980929534,2.3430742471081456
17.65765765765766,2.949228433599116,2.4720487479196156,1.747535457331234
17.83783783783784,2.469782974299195,2.446494472478532,2.161287887755856
18.01801801801802,2.7322525826562662,2.8432395899350844,2.431874878387976
18.1981981981982,2.4244681017534235,2.389412219640216,2.444423383507122
18.37837837837838,2.210040306331019,2.4134558175173737,2.5677020445491734
18.55855855855856,2.728583533907332,1.7487436544621284,2.1739581928462566
